hobo_id	tstamp	value
10132405	2019-12-23 05:00:00	7.935
10132405	2019-12-23 06:00:00	8.315
10132405	2019-12-23 07:00:00	8.163
10132405	2019-12-23 08:00:00	8.315
10132405	2019-12-23 09:00:00	8.619
10132405	2019-12-23 10:00:00	8.771
10132405	2019-12-23 11:00:00	8.391
10132405	2019-12-23 12:00:00	8.619
10132405	2019-12-23 13:00:00	8.771
10132405	2019-12-23 14:00:00	8.999
10132405	2019-12-23 15:00:00	8.999
10132405	2019-12-23 16:00:00	8.695
10132405	2019-12-23 17:00:00	8.695
10132405	2019-12-23 18:00:00	8.619
10132405	2019-12-23 19:00:00	8.315
10132405	2019-12-23 20:00:00	8.239
10132405	2019-12-23 21:00:00	8.087
10132405	2019-12-23 22:00:00	8.391
10132405	2019-12-23 23:00:00	8.239
10132405	2019-12-24 00:00:00	8.391
10132405	2019-12-24 01:00:00	8.543
10132405	2019-12-24 02:00:00	8.467
10132405	2019-12-24 03:00:00	8.315
10132405	2019-12-24 04:00:00	8.391
10132405	2019-12-24 05:00:00	8.391
10132405	2019-12-24 06:00:00	8.239
10132405	2019-12-24 07:00:00	8.467
10132405	2019-12-24 08:00:00	8.543
10132405	2019-12-24 09:00:00	8.543
10132405	2019-12-24 10:00:00	8.695
10132405	2019-12-24 11:00:00	10.443
10132405	2019-12-24 12:00:00	10.519
10132405	2019-12-24 13:00:00	10.671
10132405	2019-12-24 14:00:00	10.823
10132405	2019-12-24 15:00:00	11.507
10132405	2019-12-24 16:00:00	10.899
10132405	2019-12-24 17:00:00	10.671
10132405	2019-12-24 18:00:00	10.823
10132405	2019-12-24 19:00:00	10.671
10132405	2019-12-24 20:00:00	10.747
10132405	2019-12-24 21:00:00	10.291
10132405	2019-12-24 22:00:00	10.215
10132405	2019-12-24 23:00:00	10.139
10132405	2019-12-25 00:00:00	9.835
10132405	2019-12-25 01:00:00	9.835
10132405	2019-12-25 02:00:00	9.759
10132405	2019-12-25 03:00:00	9.911
10132405	2019-12-25 04:00:00	9.911
10132405	2019-12-25 05:00:00	9.911
10132405	2019-12-25 06:00:00	9.835
10132405	2019-12-25 07:00:00	9.759
10132405	2019-12-25 08:00:00	9.759
10132405	2019-12-25 09:00:00	9.759
